sc,model,scenario,MPscen,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100,rank
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|NH3,,,,,,,,,,,52.2130302073,,,,,54.2674846776,,,,,56.0402333224,,,,,,,,,,49.7070848958,,50.4361122273,,49.1168232672,,45.3564677863,,42.7608629406,37.9944163517,34.3895741813,31.7049194409,29.3090050389,15
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|NOx,,,,,,,,,,,112.1667334322,,,,,119.5270866436,,,,,114.360052795,,,,,,,,,,107.8899350318,,98.1707126651,,85.9222346482,,74.9793294653,,65.6649790126,60.3151903798,56.6452816935,50.8664961616,46.8281756445,16
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|OC,,,,,,,,,,,34.5435173558,,,,,33.9933613163,,,,,33.3069010958,,,,,,,,,,29.5961471233,,25.8317966604,,22.3634085272,,18.778280195,,15.851078963,13.2095543059,10.4892176222,8.7463971226,8.1800647574,17
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|Sulfur,,,,,,,,,,,92.1541825472,,,,,108.5628475566,,,,,99.9469385121,,,,,,,,,,74.3055446939,,63.7909995424,,49.1510199851,,35.6432904883,,27.8352356872,24.1631129709,21.8554553932,19.5430794805,17.6181235809,19
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|VOC,,,,,,,,,,,190.7659283536,,,,,196.4786927274,,,,,189.8171298779,,,,,,,,,,176.6444781482,,165.6848493019,,150.4187642846,,130.213601124,,112.9403022451,99.8680373957,85.9176582773,75.863451454,71.9681129456,20
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Baseline_CLE,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,373.62013193,,410.89947683,,434.82993458,,446.65725844,430.61754038,412.64553725,390.61324478,377.81068872,1
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,MFR_tech,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,255.80820345,,245.02606168,,241.38488066,,251.31748305,250.4776332,246.72679289,242.30464806,242.51692479,2
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,MFR_explore,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,254.42382699,,243.73217359,,240.06114389,,249.9786941,249.15584919,245.42713613,241.0474424,241.29415253,3
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,MFR_struc,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,250.80606032,,233.07251099,,221.65932523,,231.60735859,234.09383756,232.87137828,232.46859484,235.7832642,4
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,MFR_behavior,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,213.97456133,,199.91971538,,189.24100775,,199.57133783,203.64554605,204.81495468,206.09013064,210.29858941,5
