model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2136.0083218088,,170.6587157758,,-1482.5177743152,,-3457.4195394644,-3856.1675923953,-4807.7630723719,-5864.9987644879,-5530.4830200721
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,27971.9219621769,,18531.0980532612,,8610.0128548306,,-20.5366259018,-5426.1079026415,-8706.3454396724,-10978.8708022102,-12637.6528746904
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1985.1752282885,,165.3117847375,,-1464.6658276717,,-3514.9320600588,-3296.603374842,-4116.1955996835,-4911.652477819,-4455.9159183903
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,23536.7006853281,,12773.3838064464,,3538.2832156701,,-4990.2533306746,-8792.7972603336,-10610.2318471406,-12477.2670936436,-13583.9583489339
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1942.4934131923,,434.1485697735,,-1524.5230143124,,-3476.9608846603,-3383.0050511791,-4224.2843894844,-4636.8904282812,-4747.7403176719
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,23810.7217953352,,13081.5827769008,,3710.132301717,,-4751.8119848908,-8692.7690250133,-10467.5663629888,-12400.6340272933,-13481.6738349781
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1940.5981389402,,436.2477472337,,-1483.1452667794,,-3486.7356701155,-3378.1998380628,-4270.5479148048,-4646.4604925733,-4707.2612591139
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,23995.5235943957,,13470.2713939894,,3977.682323363,,-4571.2875574268,-8613.7922937164,-10427.4569498584,-12387.7424110041,-13471.7115619758
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1937.3890753836,,433.0988643685,,-1463.6724923616,,-3469.44079789,-3337.6395365736,-4266.1327843814,-4632.7432606022,-4700.9909512399
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,24100.0548779585,,13923.1328077418,,4291.4496470079,,-4315.4772720162,-8459.7242489162,-10370.5469398284,-12360.8132453465,-13408.8656992692
